#pdb lig overlap PP-crit PP-dst crit4 crit5 crit6 crit6_continue lig_vol pock_vol nb_AS nb_AS_norm mean_as_ray mean_as_solv_acc apol_as_prop apol_as_prop_norm mean_loc_hyd_dens mean_loc_hyd_dens_norm hydrophobicity_score volume_score polarity_score polarity_score_norm charge_score flex prop_polar_atm as_density as_density_norm as_max_dst as_max_dst_norm drug_score pock_asa pock_pol_asa pock_apol_asa ALA ARG ASN ASP CYS GLN GLU GLY HIS ILE LEU LYS MET PHE PRO SER THR TRP TYR VAL
dpoc.receptor.peptide.pdb PEP   0.00  0  73.62 0.00 0.00  0 -1.25   586.35    1149.41   207 1.00   3.75   0.45  0.17 0.17   14.17 0.41      5.92    3.89    31  1.00     4   0.06   50.51  7.88  1.00 18.63  1.00  0.04 699.32 376.88 322.44   1   0   5   2   0   7   0   1   5   0   0   1   2   0   2   3   4   4   0   0
dpoc.receptor.peptide.pdb PEP   0.00  0  68.56 0.00 0.00  0 -1.25   586.35     507.58   100 0.48   3.62   0.47  0.37 0.37   22.76 0.65     31.65    4.25    13  0.42     0   0.07   40.00  6.16  0.78 15.96  0.86  0.09 202.61 70.98 131.63   3   0   3   1   1   1   0   0   0   0   0   1   2   0   0   1   2   4   0   1
dpoc.receptor.peptide.pdb PEP   0.00  0  72.30 0.00 0.00  0 -1.25   586.35     223.82    62 0.30   3.41   0.42  0.65 0.65   34.90 1.00     27.38    3.25     9  0.29     1   0.00   27.03  4.25  0.54  9.42  0.53  0.38 81.99 20.40 61.59   0   0   0   0   1   1   0   3   1   1   1   0   1   0   0   3   3   1   0   0
dpoc.receptor.peptide.pdb PEP   0.00  0  52.86 0.00 0.00  0 -1.25   586.35     985.50    76 0.36   3.96   0.54  0.43 0.43   24.06 0.69     29.24    4.24     9  0.29     1   0.17   36.59  6.04  0.77 13.52  0.74  0.08 405.25 209.61 195.64   0   0   1   1   1   1   0   3   1   2   0   1   0   1   1   0   1   3   0   0
dpoc.receptor.peptide.pdb PEP   0.00  0  19.58 0.00 0.00  0 -1.25   586.35     491.13    58 0.28   3.65   0.45  0.53 0.53   28.26 0.81     15.38    3.69     7  0.23    -1   0.49   40.54  4.65  0.59 11.63  0.64  0.09 252.45 89.42 163.03   1   0   1   3   0   1   0   2   1   2   1   1   1   1   1   0   0   0   0   0
dpoc.receptor.peptide.pdb PEP   0.00  0  96.87 0.00 0.00  0 -1.25   586.35     510.62    48 0.23   3.76   0.52  0.58 0.58   26.36 0.76     32.82    4.09     5  0.16    -4   0.28   34.48  3.59  0.45  9.14  0.52  0.13 221.49 117.63 103.86   0   0   0   2   1   0   2   0   0   2   1   0   0   1   0   0   1   0   0   1
dpoc.receptor.peptide.pdb PEP   0.00  0  75.64 0.00 0.00  0 -1.25   586.35    1063.83    80 0.38   4.32   0.63  0.35 0.35   22.64 0.65      6.58    3.50     5  0.16    -4   0.15   44.44  5.70  0.72 15.78  0.85  0.02 402.75 212.76 189.99   3   0   0   4   0   0   0   0   0   0   1   0   1   0   2   0   0   1   0   0
dpoc.receptor.peptide.pdb PEP   0.00  0  81.15 0.00 0.00  0 -1.25   586.35     594.39    56 0.27   3.91   0.59  0.16 0.16    6.44 0.18    -26.88    3.38     7  0.23     0   0.17   40.00  4.41  0.56 11.93  0.66  0.00 255.88 131.49 124.39   0   0   1   3   0   0   0   0   3   0   0   0   0   0   1   0   0   0   0   0
dpoc.receptor.peptide.pdb PEP  10.58  0   4.31 0.09 0.11  0 -0.93   586.35     616.81    36 0.17   4.36   0.68  0.72 0.72   25.00 0.72     26.33    4.00     4  0.13     0   0.77   34.78  3.52  0.45  8.30  0.47  0.07 207.72 48.24 159.49   1   0   1   1   1   0   0   0   1   0   1   0   1   0   1   0   0   1   0   0
dpoc.receptor.peptide.pdb PEP   0.00  0  13.17 0.00 0.00  0 -1.25   586.35     445.79    38 0.18   4.00   0.64  0.55 0.55   19.71 0.56     46.27    4.27     4  0.13     0   0.27   43.33  3.65  0.46 10.87  0.60  0.10 263.51 94.44 169.07   1   0   1   0   0   1   0   1   0   0   0   0   4   1   0   0   1   1   0   0
