Amino Acid,Short,Abbrev.,Side chain,Hydrogen bonding,Hydrophobic,pKa,Polar,pH,Small,Tiny,Aromatic or Aliphatic,van der Waals volume
Alanine,A,Ala,-CH3,0,X,0,0,0,X,X,0,67
Arginine,R,Arg,-(CH2)3NH-C(NH)NH2,X,0,12.48,X,strongly basic,0,0,0,148
Asparagine,N,Asn,-CH2CONH2,X,0,5.41,X,weak basic,X,0,0,96
Aspartic acid,D,Asp,-CH2COOH,X,0,3.9,X,acidic,X,0,0,91
Cysteine,C,Cys,-CH2SH,X,0,8.18,0,acidic,X,X,0,86
Glutamine,Q,Gln,-CH2CH2CONH2,X,0,0,X,weak basic,0,0,0,114
Glutamic acid,E,Glu,-CH2CH2COOH,X,0,4.07,X,acidic,0,0,0,109
Glycine,G,Gly,-H,0,X,0,0,0,X,X,0,48
Histidine,H,His,-CH2-C3H3N2,X,0,6.04,X,weak basic,0,0,Aromatic,118
Isoleucine,I,Ile,-CH(CH3)CH2CH3,0,X,0,0,0,0,0,Aliphatic,124
Leucine,L,Leu,-CH2CH(CH3)2,0,X,0,0,0,0,0,Aliphatic,124
Lysine,K,Lys,-(CH2)4NH2,X,0,10.54,X,basic,0,0,0,135
Methionine,M,Met,-CH2CH2SCH3,0,X,0,0,0,0,0,0,124
Phenylalanine,F,Phe,-CH2C6H5,0,X,0,0,0,0,0,Aromatic,135
Proline,P,Pro,-CH2CH2CH2-,X,X,0,0,0,X,0,0,90
Pyrrolysine,O,Pyl,-(CH2)4NHCOC4H5NCH3,0,0,0,X,weak basic,0,0,0,
Serine,S,Ser,-CH2OH,X,0,5.68,X,weak acidic,X,X,0,73
Threonine,T,Thr,-CH(OH)CH3,X,0,5.53,0,weak acidic,X,0,0,93
Tryptophan,W,Trp,-CH2C8H6N,X,0,5.885,X,weak basic,0,0,Aromatic,163
Tyrosine,Y,Tyr,-CH2-C6H4OH,X,0,10.46,X,weak acidic,0,0,Aromatic,141
Valine,V,Val,-CH(CH3)2,0,X,0,0,0,X,0,Aliphatic,105
