bound   unbound remarks
2JK9.A  2FNJ.A  another bound: 3F2O.A
2JKG.A  2JKF.A  homolog - 3NEC.A (low seq. id.) - tetramer - choose chain A only
2W9R.A  1R6O.C  not a canonical binding mode - it's a protease :)
2X6M.A 		problematic to find unbound. single chain antibody
2XCB.A  2XCC.A  close homolog - 2VGX.A
2XU7.A  3GFC.A  could also use: 3C99.A
3FP2.A  3FP3.A
3H1Z.A  2IV9.A  binds a peptide in a different position (maybe detect both)
3HBV.P  1K7G.A  there is another domain not solved in the bound - near the peptide - compare to 3HBU
3HQM.A  2CR2.A  NMR - close homolog
3I5R.A  3I5S.A
3IVV.A  	homolog to 3HQM (b.t.w. it's a pdz domain - similar fold in peptidb but different seq.)
3KMR.A  	look at 1DKF - significant conf. change that you can't predict (RxR fold - in peptidb but different seq.)
3KUS.A  3KUR.A  homolog - choose one subunit, another option :bad NMR - 1G9L.A
3KZE.B  3KZD.A
3L81.A  1BXX.A  homolog
3LLZ.A  	not a peptide but an N'term
3M61.U  2O8T.A	or 3KGP.A
3N3X.A  3MRW.A	or 3N1N.A
