# PDB   RECALL   SPECIFICITY
1AWR    .777      .583
1CKA    .818      .310
1CZY    0      0
1D4T    .714      .370
1DDV    .200      .083
1DKX    .846      .687
1EG4    0      0
1ER8    .647      .916
1GYB    .200      .032
1HC9    .928      .464
1IHJ    .875      .388
1JD5    .642      .250
1JWG    0      0
1LVM    .666      .782
1MFG    .666      .470
1N7F    .615      .380
1NLN    .388      .636
1NQ7    0      0
1NTV    .555      .555
1NVR    0      0
1NX1    0      0
1OAI    .800      .380
1QKZ    0      0
1RXZ    .666      .714
1SE0    0      0
1SFI    .500      .750
1SSH    .888      .333
1T4F    .818      .562
1T7R    .272      .375
1TP5    .727      .615
1TW6    .900      .346
1U00    .666      .615
1UJ0    0      0
1VZQ    0      0
1W9E    .687      .407
1X2R    .133      .090
1YMT    0      0
1YWO    .571      .363
2A3I    .400      .363
2AK5    .875      .318
2B1Z    .454      .312
2B9H    .090      .200
2BBA    .583      .583
2C3I    0      0
2CCH    .466      .538
2D0N    0      0
2DS8    1.000      .222
2FMF    .500      .190
2FOJ    .111      .076
2FVJ    0      0
2H9M    .818      .529
2HO2    0      0
2HPL    .875      .259
2J6F    0      0
2JAM    0      0
2O02    .611      .916
2O4J    .600      .750
2O9V    0      0
2P0W    .266      .285
2P1K    .562      .562
2P1T    .666      .615
2P54    .600      .400
2PUY    .692      .562
2QOS    1.000      .650
2R7G    .090      .500
2V3S    .818      .321
2VJ0    .076      .142
2ZJD    .428      .375
3BU3    .346      1.000
3BWA    .400      .800
3CVP    .846      .440
3D1E    0      0
3D9T    .777      .350
