1AWR C I 2ALF A
1CKA A B 2DVJ A
1CZY C E 1CZZ C
1D4T A B 2YSX A
1DDV A B 1I2H A
1DKX A B 2V7Y A
1EG4 A P 1EG3 A
1ELW A C 1A17 A
1ER8 E I 1OEW A
1GYB B E 1GY7 B
1HC9 A C 1NTN A
1IHJ A D 2QG1 A
1JBU H X 2BZ6 H
1JD5 A B 1QBH A
1JWG B D 1MHQ A
1LVM A E 1LVB B
1MFG A B 2H3L A
1N7F B D 1N7E A
1NQ7 A B 1N83 A
1NTV A B 1P3R B
1NVR A B 2QHN A
1NX1 A C 1ALV A
1OAI A B 1GO5 A
1OU8 B D 1OU9 A
1QKZ H P 1HIL B
1RXZ A B 1RWZ A
1SE0 A B 1C9Q A
1SFI A I 1UTN A
1SSH A B 1OOT A
1T4F M P 1Z1M A
1T7R A B 2AM9 A
1TP5 A B 1PDR A
1TW6 B D 3CM2 A
1U00 A P 2V7Y A
1UJ0 A B 1X2Q A
1W9E A T 1R6J A
1X2R A B 1X2J A
1YMT A B 1PK5 A
1YUC A C 1PK5 A
1YWO A P 1Y0M A
2A3I A B 2AA2 A
2AK5 B D 2G6F X
2B9H A C 2B9F A
2C3I B A 2J2I B
2CCH D F 1H1R B
2D0N C D 1GCQ B
2DS8 B P 2DS7 A
2FGR A B 2FGQ X
2FMF A B 1JBE A
2FOJ A B 2F1W A
2FVJ A B 2HWQ A
2H9M C D 2H14 A
2HO2 A B 2E45 A
2HPL A B 2HPJ A
2J6F A C 2DA9 A
2JAM A D 3DXN A
2O02 A P 2BQ0 A
2O4J A C 1IE9 A
2O9V A B 2O9S A
2P0W A P 1BOB A
2P54 A B 1I7G A
2PUY B E 2YQL A
2VJ0 A P 1B9K A
2ZJD A B 1V49 A
3CVP A B 2C0M B
3D1E A P 3D1G A
3D9T B D 1QBH A
