1AWR	9	11	2	19	75
1CKA	11	19	0	33	146
1CZY	0	9	0	13	109
1D4T	14	18	2	29	82
1DDV	0	6	0	17	61
1DKX	0	17	0	29	86
1EG4	3	7	0	26	114
1ER8	17	22	11	27	152
1GYB	5	6	0	19	69
1HC9	14	12	7	17	45
1IHJ	0	6	0	10	49
1JD5	0	11	0	28	69
1JWG	9	3	0	10	71
1LVM	27	23	16	40	108
1MFG	0	9	0	18	57
1N7F	0	14	0	18	68
1NQ7	0	20	0	26	127
1NTV	18	14	0	27	89
1NVR	4	4	0	28	129
1NX1	0	7	0	31	101
1OAI	10	22	8	22	55
1QKZ	7	5	0	7	112
1RXZ	15	8	6	21	110
1SE0	11	15	0	24	85
1SFI	12	19	7	21	98
1SSH	9	16	3	16	34
1T4F	11	27	2	32	88
1T7R	0	6	0	17	106
1TP5	0	16	0	18	59
1TW6	0	12	0	23	68
1U00	0	15	0	30	85
1UJ0	9	14	0	27	69
1W9E	0	19	0	21	43
1X2R	0	3	0	5	116
1YMT	0	12	0	15	115
1YWO	0	11	0	14	42
2A3I	10	5	0	19	120
2AK5	8	11	2	14	40
2B9H	11	21	6	33	151
2C3I	17	15	5	21	123
2CCH	0	20	0	30	116
2D0N	0	18	0	20	40
2DS8	6	22	4	22	34
2FMF	8	11	0	20	62
2FOJ	7	11	0	22	84
2FVJ	8	8	3	25	127
2H9M	9	10	0	18	121
2HO2	5	20	1	20	41
2HPL	8	18	1	18	61
2J6F	9	26	4	26	55
2JAM	7	5	0	22	113
2O02	18	36	2	50	130
2O4J	10	9	2	17	114
2O9V	0	9	0	13	37
2P0W	15	19	2	34	149
2P54	9	16	2	24	122
2PUY	13	19	2	21	47
2VJ0	0	8	0	28	126
2ZJD	14	13	4	25	76
3CVP	13	13	1	20	143
3D1E	11	20	8	44	168
3D9T	0	7	0	25	69
