1AWR	9	5	0	14	75
1CKA	11	6	0	25	146
1CZY	0	3	0	12	109
1D4T	14	5	0	18	82
1DDV	0	4	0	14	61
1DKX	0	5	0	17	86
1EG4	3	3	0	13	114
1ER8	17	8	4	19	152
1GYB	5	4	0	14	69
1HC9	14	7	5	13	45
1IHJ	0	5	0	9	49
1JD5	0	5	0	18	69
1JWG	9	2	0	6	71
1LVM	27	9	8	27	108
1MFG	0	3	0	12	57
1N7F	0	7	0	15	68
1NQ7	0	8	0	18	127
1NTV	18	9	0	16	89
1NVR	4	3	0	14	129
1NX1	0	7	0	15	101
1OAI	10	18	6	20	55
1QKZ	7	2	0	6	112
1RXZ	15	6	4	19	110
1SE0	11	4	0	10	85
1SFI	12	16	7	18	98
1SSH	9	6	2	12	34
1T4F	11	15	1	24	88
1T7R	0	4	0	8	106
1TP5	0	9	0	14	59
1TW6	0	8	0	16	68
1U00	0	5	0	19	85
1UJ0	9	10	1	23	69
1W9E	0	9	0	14	43
1X2R	0	2	0	2	116
1YMT	0	5	0	10	115
1YWO	0	7	0	12	42
2A3I	10	4	0	15	120
2AK5	8	4	1	12	40
2B9H	11	4	2	23	151
2C3I	17	11	4	15	123
2CCH	0	13	0	23	116
2D0N	0	6	0	14	40
2DS8	6	6	0	18	34
2FMF	8	4	0	16	62
2FOJ	7	4	0	11	84
2FVJ	8	4	1	13	127
2H9M	9	3	0	14	121
2HO2	5	5	0	14	41
2HPL	8	7	0	17	61
2J6F	9	5	0	21	55
2JAM	7	3	0	11	113
2O02	18	11	2	24	130
2O4J	10	6	2	10	114
2O9V	0	4	0	6	37
2P0W	15	7	0	17	149
2P54	9	4	0	15	122
2PUY	13	11	2	18	47
2VJ0	0	3	0	9	126
2ZJD	14	7	0	24	76
3CVP	13	5	1	11	143
3D1E	11	11	5	24	168
3D9T	0	3	0	15	69
