# PDB   RECALL   SPECIFICITY
1AWR    .666      .352
1CKA    .363      .500
1CZY    0      0
1D4T    .714      .434
1DDV    .600      .250
1DKX    1.000      .325
1EG4    .272      .250
1ER8    .235      .307
1GYB    0      0
1HC9    .428      .600
1IHJ    .625      .500
1JD5    .571      .571
1JWG    0      0
1LVM    .629      .515
1MFG    .583      .388
1N7F    .461      .461
1NLN    .333      .461
1NQ7    1.000      .411
1NTV    .388      .636
1NVR    0      0
1NX1    0      0
1OAI    .600      .545
1QKZ    0      0
1RXZ    .800      .600
1SE0    .545      .285
1SFI    .500      .461
1SSH    .666      .461
1T4F    .636      .437
1T7R    .636      .538
1TP5    .818      .409
1TW6    .500      .500
1U00    .666      .173
1UJ0    .777      .140
1VZQ    0      0
1W9E    .500      .666
1X2R    .333      .357
1YMT    1.000      .357
1YWO    .714      .500
2A3I    .900      .600
2AK5    .750      .600
2B1Z    1.000      .407
2B9H    .090      .058
2BBA    .583      .269
2C3I    .647      .687
2CCH    .933      .451
2D0N    .625      .312
2DS8    .333      .166
2FMF    0      0
2FOJ    .111      .090
2FVJ    .875      .368
2H9M    .181      .133
2HO2    .400      .333
2HPL    .625      .357
2J6F    .333      .333
2JAM    0      0
2O02    .944      .340
2O4J    1.000      .526
2O9V    .714      .555
2P0W    .800      .521
2P1K    .687      .550
2P1T    .833      .416
2P54    1.000      .500
2PUY    .307      .444
2QOS    .230      .500
2R7G    .636      .518
2V3S    .636      .269
2VJ0    .615      .347
2ZJD    .571      .347
3BU3    .730      .730
3BWA    .200      .500
3CVP    1.000      .650
3D1E    .818      .391
3D9T    .555      .454
