1AWR	9	10	2	16	75
1CKA	11	18	0	29	146
1CZY	0	8	0	12	109
1D4T	14	15	2	24	82
1DDV	0	6	0	17	61
1DKX	0	17	0	27	86
1EG4	3	3	0	14	114
1ER8	17	19	11	21	152
1GYB	5	6	0	15	69
1HC9	14	10	5	13	45
1IHJ	0	5	0	9	49
1JD5	0	5	0	21	69
1JWG	9	3	0	7	71
1LVM	27	23	16	35	108
1MFG	0	8	0	16	57
1N7F	0	12	0	16	68
1NQ7	0	18	0	20	127
1NTV	18	14	0	19	89
1NVR	4	3	0	20	129
1NX1	0	7	0	22	101
1OAI	10	21	8	21	55
1QKZ	7	4	0	6	112
1RXZ	15	7	5	20	110
1SE0	11	11	0	13	85
1SFI	12	18	7	20	98
1SSH	9	11	2	13	34
1T4F	11	25	2	30	88
1T7R	0	4	0	8	106
1TP5	0	12	0	15	59
1TW6	0	10	0	18	68
1U00	0	15	0	28	85
1UJ0	9	14	0	26	69
1W9E	0	18	0	18	43
1X2R	0	3	0	5	116
1YMT	0	5	0	10	115
1YWO	0	11	0	13	42
2A3I	10	5	0	18	120
2AK5	8	10	2	13	40
2B9H	11	20	6	32	151
2C3I	17	14	5	20	123
2CCH	0	20	0	30	116
2D0N	0	12	0	19	40
2DS8	6	21	4	21	34
2FMF	8	7	0	16	62
2FOJ	7	8	0	18	84
2FVJ	8	7	2	17	127
2H9M	9	10	0	16	121
2HO2	5	18	0	18	41
2HPL	8	17	1	17	61
2J6F	9	25	4	25	55
2JAM	7	5	0	12	113
2O02	18	25	2	27	130
2O4J	10	9	2	15	114
2O9V	0	7	0	7	37
2P0W	15	19	2	31	149
2P54	9	6	1	21	122
2PUY	13	19	2	21	47
2VJ0	0	4	0	14	126
2ZJD	14	13	4	24	76
3CVP	13	9	1	14	143
3D1E	11	18	8	36	168
3D9T	0	6	0	21	69
