######## stats over 2 top clusters ########
#PDB	TPR	FPR
1AWR	0.67	0.27
1CKA	0.82	0.62
1CZY	0	0.07
1D4T	0.86	0.44
1DDV	0	0.24
1DKX	1	0.28
1EG4	0	0.12
1ER8	0.29	0.07
1GYB	0.2	0.46
1HC9	0.79	0.5
1IHJ	0.88	0.31
1JD5	0.79	0.4
1JWG	0	0.06
1LVM	0.67	0.25
1MFG	0.83	0.35
1N7F	0.62	0.46
1NLN	0.78	0.28
1NQ7	1	0.13
1NTV	0.72	0.17
1NVR	0	0.05
1NX1	0.23	0.19
1OAI	0.9	0.51
1QKZ	0.57	0.08
1RXZ	0.93	0.08
1SE0	0.91	0.55
1SFI	0.5	0.04
1SSH	1	0.52
1T4F	0.91	0.24
1T7R	0.55	0.08
1TP5	0.91	0.24
1TW6	0.9	0.51
1U00	1	0.4
1UJ0	1	0.5
1VZQ	0	0.05
1W9E	0.56	0.23
1X2R	0.33	0.07
1YMT	0	0.05
1YWO	0.85	0.59
2A3I	1	0.08
2AK5	0.87	0.37
2B1Z	1	0.41
2B9H	0.09	0.05
2BBA	0.75	0.3
2C3I	0.76	0.05
2CCH	1	0.23
2D0N	1	0.64
2DS8	0.83	0.59
2FMF	0.62	0.44
2FOJ	0.89	0.51
2FVJ	0.88	0.11
2H9M	0.82	0.16
2HO2	1	0.5
2HPL	0.88	0.53
2J6F	0.89	0.43
2JAM	0	0.25
2O02	0.95	0.33
2O4J	1	0.05
2O9V	0	0.26
2P0W	0.93	0.1
2P1K	0.81	0.27
2P1T	0.92	0.31
2P54	1	0.06
2PUY	0.69	0.27
2QOS	1	0.13
2R7G	0.09	0.02
2V3S	1	0.53
2VJ0	0.08	0.08
2ZJD	0.79	0.45
3BU3	0.58	0.03
3BWA	0.7	0.09
3CVP	1	0.14
3D1E	0.91	0.1
3D9T	0.89	0.3
